_time,TargetUserName,IpAddress,IpPort,status,signature,,,,,
2025-04-24T08:38:45.000+0700,GiangVT12,10.86.216.243,12893,success,An account was successfully logged on,,,,,
2025-04-24T08:47:50.000+0700,ThienDM,10.86.216.243,12893,success,An account was successfully logged on,,,,,
2025-04-24T08:48:02.000+0700,loclpp,10.86.216.243,12893,success,An account was successfully logged on,,,,,
2025-04-24T09:28:10.000+0700,KinhN,10.86.216.243,12893,success,An account was successfully logged on,,,,,
2025-04-24T09:37:53.000+0700,ThaoNT64,10.86.216.243,12893,success,An account was successfully logged on,,,,,
2025-04-24T09:42:49.000+0700,CuongTM27,10.86.216.243,12893,success,An account was successfully logged on,,,,,
2025-04-24T09:43:22.000+0700,OanhLTH6,10.86.216.243,12893,success,An account was successfully logged on,,,,,
2025-04-24T10:29:13.000+0700,ChienND8,10.86.216.243,12893,success,An account was successfully logged on,,,,,
2025-04-24T10:32:15.000+0700,LongNT44,10.86.216.243,12893,success,An account was successfully logged on,,,,,
2025-04-24T10:35:19.000+0700,duyhq,10.86.216.243,12893,success,An account was successfully logged on,,,,,
2025-04-24T10:38:22.000+0700,phongnt93,10.86.216.243,12893,success,An account was successfully logged on,,,,,
2025-04-24T14:36:26.000+0700,HieuPT35,10.86.216.243,12893,success,An account was successfully logged on,,,,,
2025-04-24T14:44:06.000+0700,HaLTT4,10.86.216.243,12893,success,An account was successfully logged on,,,,,
2025-04-25T08:23:46.000+0700,ThienDM,10.86.216.243,17270,success,An account was successfully logged on,,,,,
2025-04-25T08:32:15.000+0700,LongVT27,10.86.216.243,17270,success,An account was successfully logged on,,,,,
2025-04-25T08:43:18.000+0700,PhuongNH4,10.86.216.243,17270,success,An account was successfully logged on,,,,,
2025-04-25T08:50:38.000+0700,ChienNM,10.86.216.243,17270,success,An account was successfully logged on,,,,,
2025-04-25T09:09:13.000+0700,DiemLN,10.86.216.243,17270,success,An account was successfully logged on,,,,,
2025-04-25T09:52:01.000+0700,KhoaND4,10.86.216.243,17341,success,An account was successfully logged on,,,,,
2025-04-25T11:05:30.000+0700,HangTTT,10.86.216.243,17341,success,An account was successfully logged on,,,,,
2025-04-25T11:20:10.000+0700,LongNT44,10.86.216.243,17341,success,An account was successfully logged on,,,,,
2025-04-25T11:36:40.000+0700,HieuPT35,10.86.216.243,17341,success,An account was successfully logged on,,,,,
2025-04-25T12:19:38.000+0700,PhucNH75,10.86.216.243,17341,success,An account was successfully logged on,,,,,
2025-04-25T12:40:08.000+0700,HaLTT4,10.86.216.243,17341,success,An account was successfully logged on,,,,,
2025-04-25T14:44:16.000+0700,CuongLP3,10.86.216.243,17341,success,An account was successfully logged on,,,,,
2025-04-25T18:44:59.000+0700,TranCDH2,10.86.216.243,17341,success,An account was successfully logged on,,,,,
2025-04-26T07:52:04.000+0700,ChienNM,10.86.216.243,17341,success,An account was successfully logged on,,,,,
2025-04-26T08:27:13.000+0700,ThienDM,10.86.216.243,17341,success,An account was successfully logged on,,,,,
2025-04-26T08:33:01.000+0700,LongVT27,10.86.216.243,17341,success,An account was successfully logged on,,,,,
2025-04-26T08:51:50.000+0700,KinhN,10.86.216.243,17341,success,An account was successfully logged on,,,,,
2025-04-26T09:18:48.000+0700,KinhN,10.86.216.243,17341,success,An account was successfully logged on,,,,,
2025-04-26T09:25:56.000+0700,DiemLN,10.86.216.243,17341,success,An account was successfully logged on,,,,,
2025-04-26T10:08:33.000+0700,loclpp,10.86.216.243,17341,success,An account was successfully logged on,,,,,
2025-04-26T10:28:41.000+0700,LongNT44,10.86.216.243,17341,success,An account was successfully logged on,,,,,
2025-04-26T12:33:54.000+0700,KinhN,10.86.216.243,17341,success,An account was successfully logged on,,,,,
2025-04-26T12:54:34.000+0700,PhucNH75,10.86.216.243,17341,success,An account was successfully logged on,,,,,
2025-04-26T13:33:40.000+0700,ThaoNT64,10.86.216.243,17341,success,An account was successfully logged on,,,,,
2025-04-26T14:56:05.000+0700,ChienND8,10.86.216.243,17341,success,An account was successfully logged on,,,,,
2025-04-28T08:17:20.000+0700,PhuongNH4,10.86.216.243,20726,success,An account was successfully logged on,,,,,
2025-04-28T08:33:34.000+0700,LongVT27,10.86.216.243,20726,success,An account was successfully logged on,,,,,
2025-04-28T08:36:26.000+0700,GiangVT12,10.86.216.243,20726,success,An account was successfully logged on,,,,,
2025-04-28T08:37:35.000+0700,DuyTD20,10.86.216.243,20726,success,An account was successfully logged on,,,,,
2025-04-28T08:38:54.000+0700,ThienDM,10.86.216.243,20726,success,An account was successfully logged on,,,,,
2025-04-28T08:42:32.000+0700,DiemLN,10.86.216.243,20726,success,An account was successfully logged on,,,,,
2025-04-28T08:59:16.000+0700,KinhN,10.86.216.243,20726,success,An account was successfully logged on,,,,,
2025-04-28T09:01:58.000+0700,ThaoNT64,10.86.216.243,20726,success,An account was successfully logged on,,,,,
2025-04-28T09:06:25.000+0700,vinhdq38,10.86.216.243,20726,success,An account was successfully logged on,,,,,
2025-04-28T09:24:21.000+0700,Tiendt,10.86.216.243,20726,success,An account was successfully logged on,,,,,
2025-04-28T09:32:55.000+0700,CuongLP3,10.86.216.243,20726,success,An account was successfully logged on,,,,,
2025-04-28T09:47:29.000+0700,PhucNH75,10.86.216.243,20726,success,An account was successfully logged on,,,,,
2025-04-28T10:23:30.000+0700,phuchv2,10.86.216.243,20726,success,An account was successfully logged on,,,,,
